ID,storySignifier,domain,outcomeXexpect,emotion,rating,model,study
50,G3D2BL,social_old,BL,Love,1,Human,1
50,G3D2BL,social_old,BL,Contentment,0,Human,1
50,G3D2BL,social_old,BL,Pleasure,0,Human,1
50,G3D2BL,social_old,BL,Joy,0,Human,1
50,G3D2BL,social_old,BL,Pride,0,Human,1
50,G3D2BL,social_old,BL,Amusement,0,Human,1
50,G3D2BL,social_old,BL,Interest,1,Human,1
50,G3D3GH,basketball,GH,Anger,0,Human,1
50,G3D3GH,basketball,GH,Hate,0,Human,1
50,G3D3GH,basketball,GH,Contempt,1,Human,1
50,G3D3GH,basketball,GH,Disgust,0,Human,1
50,G3D3GH,basketball,GH,Fear,0,Human,1
50,G3D3GH,basketball,GH,Disappointment,1,Human,1
50,G3D3GH,basketball,GH,Shame,1,Human,1
50,G3D3GH,basketball,GH,Regret,0,Human,1
50,G3D3GH,basketball,GH,Guilt,1,Human,1
50,G3D3GH,basketball,GH,Sadness,1,Human,1
50,G3D3GH,basketball,GH,Compassion,3,Human,1
50,G3D3GH,basketball,GH,Relief,5,Human,1
50,G3D3GH,basketball,GH,Admiration,2,Human,1
50,G3D3GH,basketball,GH,Love,2,Human,1
50,G3D3GH,basketball,GH,Contentment,5,Human,1
50,G3D3GH,basketball,GH,Pleasure,6,Human,1
50,G3D3GH,basketball,GH,Joy,6,Human,1
50,G3D3GH,basketball,GH,Pride,5,Human,1
50,G3D3GH,basketball,GH,Amusement,2,Human,1
50,G3D3GH,basketball,GH,Interest,3,Human,1
50,G3D1GL,pottery,GL,Anger,0,Human,1
50,G3D1GL,pottery,GL,Hate,0,Human,1
50,G3D1GL,pottery,GL,Contempt,0,Human,1
50,G3D1GL,pottery,GL,Disgust,0,Human,1
50,G3D1GL,pottery,GL,Fear,0,Human,1
50,G3D1GL,pottery,GL,Disappointment,1,Human,1
50,G3D1GL,pottery,GL,Shame,0,Human,1
50,G3D1GL,pottery,GL,Regret,2,Human,1
50,G3D1GL,pottery,GL,Guilt,0,Human,1
50,G3D1GL,pottery,GL,Sadness,2,Human,1
50,G3D1GL,pottery,GL,Compassion,5,Human,1
50,G3D1GL,pottery,GL,Relief,3,Human,1
50,G3D1GL,pottery,GL,Admiration,3,Human,1
50,G3D1GL,pottery,GL,Love,3,Human,1
50,G3D1GL,pottery,GL,Contentment,6,Human,1
50,G3D1GL,pottery,GL,Pleasure,6,Human,1
50,G3D1GL,pottery,GL,Joy,6,Human,1
50,G3D1GL,pottery,GL,Pride,5,Human,1
50,G3D1GL,pottery,GL,Amusement,2,Human,1
50,G3D1GL,pottery,GL,Interest,1,Human,1
50,G3D4BH,exam,BH,Anger,1,Human,1
50,G3D4BH,exam,BH,Hate,0,Human,1
50,G3D4BH,exam,BH,Contempt,0,Human,1
50,G3D4BH,exam,BH,Disgust,1,Human,1
50,G3D4BH,exam,BH,Fear,0,Human,1
50,G3D4BH,exam,BH,Disappointment,3,Human,1
50,G3D4BH,exam,BH,Shame,3,Human,1
50,G3D4BH,exam,BH,Regret,3,Human,1
50,G3D4BH,exam,BH,Guilt,2,Human,1
50,G3D4BH,exam,BH,Sadness,3,Human,1
50,G3D4BH,exam,BH,Compassion,2,Human,1
50,G3D4BH,exam,BH,Relief,1,Human,1
50,G3D4BH,exam,BH,Admiration,0,Human,1
50,G3D4BH,exam,BH,Love,2,Human,1
50,G3D4BH,exam,BH,Contentment,0,Human,1
50,G3D4BH,exam,BH,Pleasure,0,Human,1
50,G3D4BH,exam,BH,Joy,0,Human,1
50,G3D4BH,exam,BH,Pride,0,Human,1
50,G3D4BH,exam,BH,Amusement,0,Human,1
50,G3D4BH,exam,BH,Interest,1,Human,1
50,G3D5BL,project,BL,Anger,0,Human,1
50,G3D5BL,project,BL,Hate,0,Human,1
50,G3D5BL,project,BL,Contempt,0,Human,1
50,G3D5BL,project,BL,Disgust,0,Human,1
50,G3D5BL,project,BL,Fear,0,Human,1
50,G3D5BL,project,BL,Disappointment,1,Human,1
50,G3D5BL,project,BL,Shame,1,Human,1
50,G3D5BL,project,BL,Regret,0,Human,1
50,G3D5BL,project,BL,Guilt,0,Human,1
50,G3D5BL,project,BL,Sadness,0,Human,1
50,G3D5BL,project,BL,Compassion,4,Human,1
50,G3D5BL,project,BL,Relief,6,Human,1
50,G3D5BL,project,BL,Admiration,4,Human,1
50,G3D5BL,project,BL,Love,4,Human,1
50,G3D5BL,project,BL,Contentment,4,Human,1
50,G3D5BL,project,BL,Pleasure,4,Human,1
50,G3D5BL,project,BL,Joy,5,Human,1
50,G3D5BL,project,BL,Pride,4,Human,1
50,G3D5BL,project,BL,Amusement,2,Human,1
50,G3D5BL,project,BL,Interest,3,Human,1
50,G3D2GH,social_old,GH,Anger,0,Human,1
50,G3D2GH,social_old,GH,Hate,0,Human,1
50,G3D2GH,social_old,GH,Contempt,0,Human,1
50,G3D2GH,social_old,GH,Disgust,0,Human,1
50,G3D2GH,social_old,GH,Fear,0,Human,1
50,G3D2GH,social_old,GH,Disappointment,0,Human,1
50,G3D2GH,social_old,GH,Shame,0,Human,1
50,G3D2GH,social_old,GH,Regret,1,Human,1
50,G3D2GH,social_old,GH,Guilt,0,Human,1
50,G3D2GH,social_old,GH,Sadness,0,Human,1
50,G3D2GH,social_old,GH,Compassion,4,Human,1
50,G3D2GH,social_old,GH,Relief,6,Human,1
50,G3D2GH,social_old,GH,Admiration,6,Human,1
50,G3D2GH,social_old,GH,Love,6,Human,1
50,G3D2GH,social_old,GH,Contentment,6,Human,1
50,G3D2GH,social_old,GH,Pleasure,6,Human,1
50,G3D2GH,social_old,GH,Joy,5,Human,1
50,G3D2GH,social_old,GH,Pride,4,Human,1
50,G3D2GH,social_old,GH,Amusement,4,Human,1
50,G3D2GH,social_old,GH,Interest,3,Human,1
50,G3D3GL,basketball,GL,Anger,0,Human,1
50,G3D3GL,basketball,GL,Hate,0,Human,1
50,G3D3GL,basketball,GL,Contempt,0,Human,1
50,G3D3GL,basketball,GL,Disgust,0,Human,1
50,G3D3GL,basketball,GL,Fear,0,Human,1
50,G3D3GL,basketball,GL,Disappointment,0,Human,1
50,G3D3GL,basketball,GL,Shame,0,Human,1
50,G3D3GL,basketball,GL,Regret,0,Human,1
50,G3D3GL,basketball,GL,Guilt,0,Human,1
50,G3D3GL,basketball,GL,Sadness,0,Human,1
50,G3D3GL,basketball,GL,Compassion,6,Human,1
50,G3D3GL,basketball,GL,Relief,6,Human,1
50,G3D3GL,basketball,GL,Admiration,5,Human,1
50,G3D3GL,basketball,GL,Love,6,Human,1
50,G3D3GL,basketball,GL,Contentment,5,Human,1
50,G3D3GL,basketball,GL,Pleasure,6,Human,1
50,G3D3GL,basketball,GL,Joy,6,Human,1
50,G3D3GL,basketball,GL,Pride,5,Human,1
50,G3D3GL,basketball,GL,Amusement,4,Human,1
50,G3D3GL,basketball,GL,Interest,3,Human,1
50,G3D1BH,pottery,BH,Anger,4,Human,1
50,G3D1BH,pottery,BH,Hate,0,Human,1
50,G3D1BH,pottery,BH,Contempt,0,Human,1
50,G3D1BH,pottery,BH,Disgust,3,Human,1
50,G3D1BH,pottery,BH,Fear,1,Human,1
50,G3D1BH,pottery,BH,Disappointment,5,Human,1
50,G3D1BH,pottery,BH,Shame,3,Human,1
50,G3D1BH,pottery,BH,Regret,4,Human,1
50,G3D1BH,pottery,BH,Guilt,2,Human,1
50,G3D1BH,pottery,BH,Sadness,3,Human,1
50,G3D1BH,pottery,BH,Compassion,0,Human,1
50,G3D1BH,pottery,BH,Relief,2,Human,1
50,G3D1BH,pottery,BH,Admiration,0,Human,1
50,G3D1BH,pottery,BH,Love,0,Human,1
50,G3D1BH,pottery,BH,Contentment,0,Human,1
50,G3D1BH,pottery,BH,Pleasure,0,Human,1
50,G3D1BH,pottery,BH,Joy,0,Human,1
50,G3D1BH,pottery,BH,Pride,0,Human,1
50,G3D1BH,pottery,BH,Amusement,0,Human,1
50,G3D1BH,pottery,BH,Interest,1,Human,1
50,G3D4BL,exam,BL,Anger,3,Human,1
50,G3D4BL,exam,BL,Hate,3,Human,1
50,G3D4BL,exam,BL,Contempt,2,Human,1
50,G3D4BL,exam,BL,Disgust,3,Human,1
50,G3D4BL,exam,BL,Fear,1,Human,1
50,G3D4BL,exam,BL,Disappointment,4,Human,1
50,G3D4BL,exam,BL,Shame,5,Human,1
50,G3D4BL,exam,BL,Regret,5,Human,1
50,G3D4BL,exam,BL,Guilt,3,Human,1
50,G3D4BL,exam,BL,Sadness,5,Human,1
50,G3D4BL,exam,BL,Compassion,0,Human,1
50,G3D4BL,exam,BL,Relief,3,Human,1
50,G3D4BL,exam,BL,Admiration,0,Human,1
50,G3D4BL,exam,BL,Love,0,Human,1
50,G3D4BL,exam,BL,Contentment,0,Human,1
50,G3D4BL,exam,BL,Pleasure,0,Human,1
50,G3D4BL,exam,BL,Joy,0,Human,1
50,G3D4BL,exam,BL,Pride,0,Human,1
50,G3D4BL,exam,BL,Amusement,0,Human,1
50,G3D4BL,exam,BL,Interest,0,Human,1
50,G3D5GH,project,GH,Anger,0,Human,1
50,G3D5GH,project,GH,Hate,0,Human,1
50,G3D5GH,project,GH,Contempt,0,Human,1
50,G3D5GH,project,GH,Disgust,0,Human,1
50,G3D5GH,project,GH,Fear,0,Human,1
50,G3D5GH,project,GH,Disappointment,0,Human,1
50,G3D5GH,project,GH,Shame,0,Human,1
50,G3D5GH,project,GH,Regret,0,Human,1
50,G3D5GH,project,GH,Guilt,0,Human,1
50,G3D5GH,project,GH,Sadness,0,Human,1
50,G3D5GH,project,GH,Compassion,4,Human,1
50,G3D5GH,project,GH,Relief,6,Human,1
50,G3D5GH,project,GH,Admiration,6,Human,1
50,G3D5GH,project,GH,Love,3,Human,1
50,G3D5GH,project,GH,Contentment,6,Human,1
50,G3D5GH,project,GH,Pleasure,5,Human,1
50,G3D5GH,project,GH,Joy,6,Human,1
50,G3D5GH,project,GH,Pride,5,Human,1
50,G3D5GH,project,GH,Amusement,4,Human,1
50,G3D5GH,project,GH,Interest,3,Human,1
51,G6D1BH,pottery,BH,Anger,2,Human,1
51,G6D1BH,pottery,BH,Hate,0,Human,1
51,G6D1BH,pottery,BH,Contempt,2,Human,1
51,G6D1BH,pottery,BH,Disgust,0,Human,1
51,G6D1BH,pottery,BH,Fear,0,Human,1
51,G6D1BH,pottery,BH,Disappointment,5,Human,1
51,G6D1BH,pottery,BH,Shame,2,Human,1
51,G6D1BH,pottery,BH,Regret,0,Human,1
51,G6D1BH,pottery,BH,Guilt,0,Human,1
51,G6D1BH,pottery,BH,Sadness,5,Human,1
51,G6D1BH,pottery,BH,Compassion,0,Human,1
51,G6D1BH,pottery,BH,Relief,0,Human,1
51,G6D1BH,pottery,BH,Admiration,0,Human,1
51,G6D1BH,pottery,BH,Love,0,Human,1
51,G6D1BH,pottery,BH,Contentment,0,Human,1
51,G6D1BH,pottery,BH,Pleasure,0,Human,1
51,G6D1BH,pottery,BH,Joy,0,Human,1
51,G6D1BH,pottery,BH,Pride,0,Human,1
51,G6D1BH,pottery,BH,Amusement,0,Human,1
51,G6D1BH,pottery,BH,Interest,0,Human,1
51,G6D4GH,exam,GH,Anger,0,Human,1
51,G6D4GH,exam,GH,Hate,0,Human,1
51,G6D4GH,exam,GH,Contempt,0,Human,1
51,G6D4GH,exam,GH,Disgust,0,Human,1
51,G6D4GH,exam,GH,Fear,1,Human,1
51,G6D4GH,exam,GH,Disappointment,0,Human,1
51,G6D4GH,exam,GH,Shame,0,Human,1
51,G6D4GH,exam,GH,Regret,0,Human,1
51,G6D4GH,exam,GH,Guilt,0,Human,1
51,G6D4GH,exam,GH,Sadness,0,Human,1
51,G6D4GH,exam,GH,Compassion,0,Human,1
51,G6D4GH,exam,GH,Relief,5,Human,1
51,G6D4GH,exam,GH,Admiration,0,Human,1
51,G6D4GH,exam,GH,Love,0,Human,1
51,G6D4GH,exam,GH,Contentment,4,Human,1
51,G6D4GH,exam,GH,Pleasure,1,Human,1
51,G6D4GH,exam,GH,Joy,4,Human,1
51,G6D4GH,exam,GH,Pride,3,Human,1
51,G6D4GH,exam,GH,Amusement,0,Human,1
51,G6D4GH,exam,GH,Interest,0,Human,1
51,G6D3BL,basketball,BL,Anger,2,Human,1
51,G6D3BL,basketball,BL,Hate,0,Human,1
51,G6D3BL,basketball,BL,Contempt,0,Human,1
51,G6D3BL,basketball,BL,Disgust,0,Human,1
51,G6D3BL,basketball,BL,Fear,0,Human,1
51,G6D3BL,basketball,BL,Disappointment,5,Human,1
51,G6D3BL,basketball,BL,Shame,1,Human,1
51,G6D3BL,basketball,BL,Regret,0,Human,1
51,G6D3BL,basketball,BL,Guilt,0,Human,1
51,G6D3BL,basketball,BL,Sadness,3,Human,1
51,G6D3BL,basketball,BL,Compassion,0,Human,1
51,G6D3BL,basketball,BL,Relief,0,Human,1
51,G6D3BL,basketball,BL,Admiration,0,Human,1
51,G6D3BL,basketball,BL,Love,0,Human,1
51,G6D3BL,basketball,BL,Contentment,0,Human,1
51,G6D3BL,basketball,BL,Pleasure,0,Human,1
51,G6D3BL,basketball,BL,Joy,0,Human,1
51,G6D3BL,basketball,BL,Pride,0,Human,1
51,G6D3BL,basketball,BL,Amusement,0,Human,1
51,G6D3BL,basketball,BL,Interest,0,Human,1
51,G6D2GL,social_old,GL,Anger,0,Human,1
51,G6D2GL,social_old,GL,Hate,0,Human,1
51,G6D2GL,social_old,GL,Contempt,0,Human,1
51,G6D2GL,social_old,GL,Disgust,0,Human,1
51,G6D2GL,social_old,GL,Fear,0,Human,1
51,G6D2GL,social_old,GL,Disappointment,0,Human,1
51,G6D2GL,social_old,GL,Shame,0,Human,1
51,G6D2GL,social_old,GL,Regret,0,Human,1
51,G6D2GL,social_old,GL,Guilt,0,Human,1
51,G6D2GL,social_old,GL,Sadness,0,Human,1
51,G6D2GL,social_old,GL,Compassion,0,Human,1
51,G6D2GL,social_old,GL,Relief,3,Human,1
51,G6D2GL,social_old,GL,Admiration,0,Human,1
51,G6D2GL,social_old,GL,Love,2,Human,1
